"datasetID","nombreInstitucion_snib","nombreColeccion_snib","cuerpoAgua_snib","isla_snib","pais_snib","validacionPais_snib","estadoProvincia_snib","validacionEstado_snib","condadoMunicipio_snib","validacionMunicipio_snib","validacionLocalidad_snib","datumGeodesico_snib","nombreCientifico_snib","nombreDeacuerdoCon_snib","nombrePublicadoEnAnio_snib","reino_snib","phylum_snib","clase_snib","orden_snib","familia_snib","genero_snib","subgenero_snib","epitetoespecifico_snib","epitetoinfraespecifico_snib","autoridadNombreCientifico_snib","estatusTaxonomico_snib"
"915d4d8f3ce8f87e4928e3d9360ce05a","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","Styrax argenteus var. argenteus","Carranza, 1993","1835","Plantae","Tracheophyta","Magnoliopsida","Ericales","Styracaceae","Styrax","","argenteus","argenteus","C. Presl, 1835","aceptado"
"15daa3a0d894523259ff76b0541146b6","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","Heterotheca inuloides var. rosei","POWO, 2023","1960","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Heterotheca","","inuloides","rosei","B. Wagenkn., 1960","sinónimo"
"d0b1041789b4d900788f17b9bcdb91a7","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","Elephantopus spicatus","Redonda-Martínez, 2017","1775","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Elephantopus","","spicatus","","A. Juss. ex Aubl., 1775","sinónimo"
"5519656c960fd6bf4bccfafb6cd268a9","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","Pinus devoniana","Gernandt & Pérez-de la Rosa, 2014","1839","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus","devoniana","","Lindl., 1839","aceptado"
"dcda8f9e083f47e456202644befb52d3","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","SAN BLAS","VALIDO","NO PROCESADO","","","","","","","","","","","","","","",
"3f05b28f3de29791bbc1046699e92e42","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","SAN BLAS","VALIDO","NO PROCESADO","","Salvia sanctae-luciae","González-Gallegos, Pío-León & Castro-Castro, 2021","1856","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Salvia","","sanctae-luciae","","Seem., 1856","aceptado"
"bbb8c068210d4ab85984067b2add6a5a","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","","","","","","","","","","","","","",
"7952973db30c72d5dd72d57ee3a2a68b","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","Quercus elliptica","Cuevas-Guzmán, Núñez-López & Sánchez-Rodríguez, 2021","1801","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus","elliptica","","Née, 1801","aceptado"
"5c85d794fd8fb2f61457e2eac3d80445","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","Clethra lanata","Morales, 2020","1842","Plantae","Tracheophyta","Magnoliopsida","Ericales","Clethraceae","Clethra","","lanata","","M. Martens & Galeotti, 1842","aceptado"
"761bcb360413e0ae15304a02c5bce367","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","SAN BLAS","VALIDO","NO PROCESADO","","","","","","","","","","","","","","",
"ae7c2af147efec77c17b0f85d50fad81","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","SAN BLAS","VALIDO","NO PROCESADO","","","","","","","","","","","","","","",
"0b41380da6ac50d17541d0ec8dce1de9","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","Pinus montezumae","Farjon, 2001","1832","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus","montezumae","","Lamb., 1832","aceptado"
"a7840300027b2e32236e366d4938f63f","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","SAN BLAS","VALIDO","NO PROCESADO","","Lopezia semeiandra","Wagner, Hoch & Raven, 2007","1973","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Lopezia","","semeiandra","","Plitmann, P.H. Raven & Breedlove, 1973","aceptado"
"99363843de27b0ad21c97e76c41b0874","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","Quercus elliptica","Cuevas-Guzmán, Núñez-López & Sánchez-Rodríguez, 2021","1801","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus","elliptica","","Née, 1801","aceptado"
"2ea8698af505e0b6b477823e36844197","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","Ramirezella lozanii","Maréchal, Mascherpa & Stainier, 1978b","1926","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Ramirezella","","lozanii","","(Rose) Piper, 1926","aceptado"
"56147348a16e665e25297a6dab8cbff7","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","Argemone ochroleuca","Vascular Plants of the Americas, 2024","1828","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","Argemone","","ochroleuca","","Sweet, 1828","aceptado"
"e75b60de6c968eb2a88110b82aaec29f","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","Dendropanax arboreus","Cannon & Cannon, 2015","1854","Plantae","Tracheophyta","Magnoliopsida","Apiales","Araliaceae","Dendropanax","","arboreus","","(L.) Decne. & Planch., 1854","aceptado"
"c2a406acab11e653fc5621f587753764","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","SAN BLAS","VALIDO","NO PROCESADO","","Siparuna andina","Renner & Hausner, 2005","1868","Plantae","Tracheophyta","Magnoliopsida","Laurales","Siparunaceae","Siparuna","","andina","","(Tul.) A. DC., 1868","sinónimo"
"53a218cd301291b6093f756691335006","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","","","","","","","","","","","","","",
"e6ea4a1ea62041b77926d0dc1b02e01e","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","Lupinus elegans","Ruacho-González, López-Enríquez, Acosta-Hernández, & Retana-Rentería, 2017","1824","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus","","elegans","","Kunth, 1824","aceptado"
"3c85f6dcaeca629e76ecf5a5a2ae5d15","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","","","","","","","","","","","","","",
"9ae1884bdb375912d2bb529eabbac5aa","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","","","","","","","","","","","","","",
"5d64b43ef3589ca9fbd8cc783ee34974","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","SAN BLAS","VALIDO","NO PROCESADO","","Styrax argenteus var. argenteus","Carranza, 1993","1835","Plantae","Tracheophyta","Magnoliopsida","Ericales","Styracaceae","Styrax","","argenteus","argenteus","C. Presl, 1835","aceptado"
"614e50d6f64ae1c6ad92ed5bb62b35ca","Escuela Nacional de Ciencias Biológicas, Instituto Politécnico Nacional","Herbario Jerzy Rzedowski y Graciela Calderón","","","MEXICO","VALIDO","NAYARIT","VALIDO","SAN BLAS","VALIDO","NO PROCESADO","","Dicliptera nervata","Vascular Plants of the Americas, 2024","1903","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","Dicliptera","","nervata","","Greenm., 1903","aceptado"
"68cc37ec3297a984b4be05954a902671","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","Hedyosmum mexicanum","Cuevas-Guzmán, Núñez-López & Sánchez-Rodríguez, 2021","1863","Plantae","Tracheophyta","Magnoliopsida","Chloranthales","Chloranthaceae","Hedyosmum","","mexicanum","","Cordem. ex Baill., 1863","aceptado"
"c1d911753d78afd4ac51013705d58496","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","Coriaria ruscifolia subsp. microphylla","Shalisko, González-Villarreal & Carvajal, 2007","1972","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Coriariaceae","Coriaria","","ruscifolia","microphylla","(Poir.) L.E. Skog, 1972","sinónimo"
"047cdc619a1b322b27b7beb5d64c6524","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","Clusia salvinii","Martínez y Pérez, Castillo-Campos & Nicolalde Morejón, 2015","1903","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Clusiaceae","Clusia","","salvinii","","Donn. Sm., 1903","aceptado"
"f992929589f9c4d46a9ca0e532ca3b23","Instituto de Biología, Universidad Nacional Autónoma de México","Herbario Nacional de México, Plantas Vasculares","","","MEXICO","VALIDO","NAYARIT","VALIDO","TEPIC","VALIDO","NO PROCESADO","","","","","","","","","","","","","","",
